Senator,District,Party,Office Address,"City, State, Zip",Phone Number,Email
Jim Abeler,35,R,3215 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-3733,sen.jim.abeler@senate.mn
Bruce D. Anderson,29,R,3209 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5981,sen.bruce.anderson@senate.mn
Paul T. Anderson,44,R,2103 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-9261,Email Not Available
Thomas M. Bakk,03,DFL,2221 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-8881,Email Not Available
Michelle R. Benson,31,R,3109 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-3219,Email Not Available
Karla Bigham,54,DFL,2327 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-297-8060,Email Not Available
Jim Carlson,51,DFL,2207 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-297-8073,Email Not Available
Roger C. Chamberlain,38,R,3225 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-1253,Email Not Available
Bobby Joe Champion,59,DFL,2303 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-9246,sen.bobby.champion@senate.mn
Gregory D. Clausen,57,DFL,2233 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4120,Email Not Available
Richard Cohen,64,DFL,2301 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5931,Email Not Available
Steve Cwodzinski,48,DFL,2319 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-1314,Email Not Available
Gary H. Dahms,16,R,2111 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-8138,Email Not Available
D. Scott Dibble,61,DFL,2213 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4191,Email Not Available
Rich Draheim,20,R,3227 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5558,Email Not Available
Kari Dziedzic,60,DFL,2203 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-7809,Email Not Available
Chris A. Eaton,40,DFL,2403 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-8869,Email Not Available
Justin D. Eichorn,05,R,3213 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-7079,Email Not Available
Kent Eken,04,DFL,2211 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-3205,Email Not Available
Melisa Franzen,49,DFL,2229 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-6238,Email Not Available
Nick A. Frentz,19,DFL,2415 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-6153,sen.nick.frentz@senate.mn
Paul E. Gazelka,09,R,3113 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4875,Email Not Available
Michael P. Goggin,21,R,3203 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5612,sen.mike.goggin@senate.mn
Dan D. Hall,56,R,3111 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5975,Email Not Available
Foung Hawj,67,DFL,3413 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5285,Email Not Available
Jeff Hayden,62,DFL,2209 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4261,Email Not Available
John A. Hoffman,36,DFL,2231 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4154,Email Not Available
Karin Housley,39,R,3217 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4351,Email Not Available
Jeff Howe,13,R,3231 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-2084,sen.jeff.howe@senate.mn
Bill Ingebrigtsen,08,R,3207 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-297-8063,sen.bill.ingebrigtsen@senate.mn
Jason Isaacson,42,DFL,2321 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5537,Email Not Available
John R. Jasinski,24,R,2101 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-0284,Email Not Available
Scott M. Jensen,47,R,3229 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4837,Email Not Available
Mark Johnson,01,R,2105 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5782,Email Not Available
Susan Kent,53,DFL,2227 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4166,Email Not Available
Mary Kiffmeyer,30,R,3103 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5655,Email Not Available
Matt D. Klein,52,DFL,2409 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4370,Email Not Available
Mark W. Koran,32,R,3101 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5419,Email Not Available
Carolyn Laine,41,DFL,2325 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4334,Email Not Available
Andrew R. Lang,17,R,3205 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4918,Email Not Available
Ron Latz,46,DFL,2215 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-297-8065,Email Not Available
Warren Limmer,34,R,3221 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-2159,Email Not Available
Matt Little,58,DFL,2413 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5252,Email Not Available
John Marty,66,DFL,2401 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5645,Email Not Available
